SMILES,S1,T1
c1ccccc1,5.4094,3.7968
c1ccc2ccccc2c1,4.3755,2.7378
c1cc[nH]c1,4.8987,4.1294
c1c[nH]cn1,5.3652,4.3212
c1nnc[nH]1,5.9489,4.839
c1ccoc1,5.8714,3.8029
c1cocn1,6.2394,4.0208
c1nnco1,5.9176,4.5858
c1ccsc1,5.7267,3.4916
c1cscn1,5.3544,3.5767
c1nncs1,4.8673,4.046
O=S1(=O)C=CC=C1,4.0719,2.3036
O=S1(=O)C=CN=C1,3.5434,2.5271
O=S1(=O)C=NN=C1,3.3933,2.8502
c1ccncc1,4.8492,3.9257
c1cnccn1,3.9926,3.2487
c1cncnc1,4.3304,3.7805
c1cc2cc3sccc3cc2s1,3.9209,2.6312
c1cc2sc3cc[nH]c3c2[nH]1,3.7539,3.102
c1nncnn1,2.2388,1.4288
c1cnc2cccnc2c1,3.7429,3.0123
c1ccc2cnccc2c1,4.3189,2.7734
c1ccc2ncccc2c1,4.2843,2.8272
c1cc2ccncc2cn1,3.9842,2.8444
c1ccc2cnncc2c1,3.5083,2.9528
c1cc2cnccc2cn1,3.9744,2.7478
c1cnc2ccncc2c1,4.0944,2.8867
c1ccc2nccnc2c1,3.5587,2.7864
c1cnc2cnccc2c1,3.935,2.8497
c1cnc2ncccc2c1,3.7761,3.0327
c1ccc2ncncc2c1,3.8031,2.8908
c1cc2cc3occc3cc2o1,4.4166,2.8215
c1cc2cc3[nH]ccc3cc2[nH]1,3.9168,2.5925
c1cc2sc3ccsc3c2s1,4.2008,2.6415
c1cc2oc3ccoc3c2o1,4.5457,2.7768
c1cc2oc3ccsc3c2s1,4.2779,2.6418
c1cc2[nH]c3cc[nH]c3c2[nH]1,3.5445,3.115
c1cc2[nH]c3ccsc3c2s1,4.2787,2.7112
c1cc2oc3cc[nH]c3c2[nH]1,3.6666,3.0627
c1cc2sc3ccoc3c2o1,4.5027,2.8257
c1cc2[nH]c3ccoc3c2o1,4.3394,2.8536
c1ccc2c(c1)Cc1ccccc1-2,4.5048,3.084
c1ccc2c(c1)[nH]c1ccccc12,4.042,3.1714
c1ccc2c(c1)oc1ccccc12,4.4506,3.1928
c1ccc2c(c1)sc1ccccc12,4.0895,3.1463
O=S1(=O)c2ccccc2-c2ccccc21,4.1964,2.9411
O=S1(=O)c2ccsc2-c2sccc21,3.5048,2.1605
O=S1(=O)C=Cc2cc3c(cc21)C=CS3(=O)=O,3.4847,2.1952
c1ccc2cc3ccccc3cc2c1,3.2245,1.8107
c1ccc2nsnc2c1,3.7984,2.242
c1ccc2nc3ccccc3cc2c1,3.2997,1.9225
c1ccc2nc3ccccc3nc2c1,3.1194,1.8916
c1cc2cc3cnccc3cc2cn1,3.2136,1.8221
c1cc2sccc2s1,4.7739,2.9835
c1cc2ccc3cccc4ccc(c1)c2c34,3.666,2.1329
c1ccc2c(c1)ccc1ccccc12,3.9564,2.7479
O=C1c2ccccc2-c2ccccc21,3.1172,2.4562
c1ccc2c(c1)c1ccccc1c1ccccc21,3.9586,2.8506
c1ccc2c(c1)ccc1cccnc12,3.9119,2.7794
c1ccc2c(c1)cnc1ccccc12,3.9994,2.8304
c1cnc2c(c1)ccc1cccnc12,4.0025,2.8407
c1ccc2c(c1)nnc1ccccc12,2.9179,2.1523
c1ccc2c(c1)ccc1ncccc12,3.9414,2.7906
c1cnc2ccc3ncccc3c2c1,4.0592,2.8457
c1cnc2c(c1)cnc1ccccc12,3.9179,2.8529
c1cnc2c(c1)ccc1ncccc12,4.0639,2.8497
c1cc2cc3ccncc3cc2cn1,3.2795,1.8718
c1ccc2cc3cnccc3cc2c1,3.2289,1.83
c1cnc2cc3cccnc3cc2c1,3.3254,1.9202
c1cnc2ccc3ccncc3c2c1,4.0276,2.8375
c1ccc2cc3ncccc3cc2c1,3.2066,1.8485
c1cnc2cc3ncccc3cc2c1,3.3263,1.924
c1cc2occc2o1,5.1341,3.1296
c1cc2sccc2o1,4.9516,3.0639
c1cc2nnsc2cn1,3.8561,3.0733
c1nncc2nsnc12,2.7339,2.4045
c1ccc2sncc2c1,4.4314,3.1409
c1ccc2snnc2c1,4.0037,3.1988
c1nncc2snnc12,3.2171,2.7242
c1cc2cnsc2cn1,4.303,3.1072
c1nncc2sncc12,3.4723,2.8981
c1cc2nsnc2cn1,3.5322,2.2736
c1ccc2cscc2c1,3.6721,1.9759
c1cnc2cscc2n1,3.2918,2.0114
c1ccc2nonc2c1,4.0365,2.1581
c1nncc2nonc12,2.8581,2.4374
c1cc2nonc2cn1,3.6613,2.1795
c1cc2nnoc2cn1,4.1411,3.3108
c1ccc2oncc2c1,4.834,3.3162
c1ccc2onnc2c1,4.5443,3.3626
c1nncc2onnc12,3.2196,2.7413
c1cc2cnoc2cn1,4.3801,3.3567
c1nncc2oncc12,3.503,2.944
c1ccc2c(c1)c1ccccc1c1ncccc21,3.9512,2.8874
c1ccc2c(c1)c1ccccc1c1nccnc21,3.6863,2.872
c1cc2nnc3cccc4nnc(c1)c2c34,2.2723,1.7491
c1cc2ccc3cccc4ncc(c1)c2c34,3.6266,2.1547
c1cnc2cscc2c1,3.6465,2.0467
c1cc2cscc2cn1,3.6854,2.0174
c1nncc2cscc12,3.2086,2.2384
c1ncc2cscc2n1,3.5003,2.1095
c1ccc2cocc2c1,3.7555,2.0283
c1cnc2cocc2n1,3.2871,1.9424
c1cnc2cocc2c1,3.5941,2.0426
c1cc2cocc2cn1,3.7639,2.0629
c1nncc2cocc12,3.3581,2.2835
c1ncc2cocc2n1,3.6155,2.109
c1cc2cnc3cccc4cnc(c1)c2c43,3.7142,2.2279
c1cc2cnc3cccc4ncc(c1)c2c34,3.658,2.1887
c1cc2ccc3ccnc4ccc(c1)c2c34,3.6659,2.185
c1cc2ccc3nccc4ccc(n1)c2c43,3.6595,2.2419
c1cc2ccc3ccnc4ccc(n1)c2c34,3.6961,2.2338
c1nc2ccc3ncnc4ccc(n1)c2c34,3.0929,2.4647
c1ccc2cc3nsnc3cc2c1,2.5798,1.2318
c1cc2cc3nsnc3cc2cn1,2.6707,1.2843
c1nncc2cc3nsnc3cc12,2.5396,1.4704
c1ccc2cc3nonc3cc2c1,2.6847,1.074
c1cc2cc3nonc3cc2cn1,2.7574,1.112
c1nncc2cc3nonc3cc12,2.5087,1.2973
c1ccc2cc3sncc3cc2c1,3.4673,2.1868
c1cc2cc3cnsc3cc2cn1,3.4044,2.1738
c1nncc2cc3sncc3cc12,3.1791,2.3501
c1ccc2cc3snnc3cc2c1,3.3173,2.1895
c1cc2cc3nnsc3cc2cn1,3.2894,2.1777
c1nncc2cc3snnc3cc12,3.0304,2.3896
c1ccc2cc3oncc3cc2c1,3.6502,2.252
c1cc2cc3cnoc3cc2cn1,3.6139,2.2548
c1nncc2cc3oncc3cc12,3.1483,2.4653
c1ccc2cc3onnc3cc2c1,3.4115,2.2215
c1cc2cc3nnoc3cc2cn1,3.4042,2.2173
c1nncc2cc3onnc3cc12,2.965,2.4616
c1c2c(cc3nsnc13)N=S=N2,2.391,0.7288
Cn1c(=O)c2ccc3c(=O)n(C)c(=O)c4ccc(c1=O)c2c34,3.2185,2.0046
c1nc2scnc2s1,4.8125,3.0445
Cn1c(=O)c2ccc3c4ccc5c(=O)n(C)c(=O)c6ccc(c7ccc(c1=O)c2c37)c4c56,2.633,2.0799
CC1(C)c2ccsc2-c2sccc21,3.8279,2.2731
CC1(C)c2ncsc2-c2scnc21,3.8407,2.2541
c1nc2[nH]c3ncsc3c2s1,4.2229,2.6562
O=C1c2ccccc2C(=O)c2ccccc21,2.952,2.5289
c1ccc2cc3cc4ccccc4cc3cc2c1,2.4559,1.1371
c1ccc2cccc-2cc1,2.3913,1.9822
O=C1C=CC(=O)C=C1,2.5114,2.0185
O=C1C=CC(=O)c2ccccc21,2.7211,2.2629
